"id","name","department","state"
"165","Carepa","1","1"
"166","Carmen de Apicalá","23","1"
"167","Carmen de Carupa","11","1"
"168","Carmen de Viboral","1","1"
"169","Carmen del Darién (CURBARADÓ)","12","1"
"170","Carolina","1","1"
"171","Cartagena","4","1"
"172","Cartagena del Chairá","7","1"
"173","Cartago","24","1"
"174","Carurú","32","1"
"175","Casabianca","23","1"
"176","Castilla la Nueva","16","1"
"177","Caucasia","1","1"
"178","Cañasgordas","1","1"
"179","Cepita","21","1"
"180","Cereté","10","1"
"181","Cerinza","5","1"
"182","Cerrito","21","1"
"183","Cerro San Antonio","15","1"
"184","Chachaguí","17","1"
"185","Chaguaní","11","1"
"186","Chalán","22","1"
"187","Chaparral","23","1"
"188","Charalá","21","1"
"189","Charta","21","1"
"190","Chigorodó","1","1"
"191","Chima","21","1"
"192","Chimichagua","9","1"
"193","Chimá","10","1"
"194","Chinavita","5","1"
"195","Chinchiná","6","1"
"196","Chinácota","18","1"
"197","Chinú","10","1"
"198","Chipaque","11","1"
"199","Chipatá","21","1"
"200","Chiquinquirá","5","1"
"201","Chiriguaná","9","1"
"202","Chiscas","5","1"
"203","Chita","5","1"
"204","Chitagá","18","1"
"205","Chitaraque","5","1"
"206","Chivatá","5","1"
"207","Chivolo","15","1"
"208","Choachí","11","1"
"209","Chocontá","11","1"
"210","Chámeza","26","1"
"211","Chía","11","1"
"212","Chíquiza","5","1"
"213","Chívor","5","1"
"214","Cicuco","4","1"
"215","Cimitarra","21","1"
"216","Circasia","19","1"
"217","Cisneros","1","1"
"218","Ciénaga","5","1"
"219","Ciénaga","15","1"
"220","Ciénaga de Oro","10","1"
"221","Clemencia","4","1"
"222","Cocorná","1","1"
"223","Coello","23","1"
"224","Cogua","11","1"
"225","Colombia","13","1"
"226","Colosó (Ricaurte)","22","1"
"227","Colón","27","1"
"228","Colón (Génova)","17","1"
"229","Concepción","1","1"
"230","Concepción","21","1"
"231","Concordia","1","1"
"232","Concordia","15","1"
"233","Condoto","12","1"
"234","Confines","21","1"
"235","Consaca","17","1"
"236","Contadero","17","1"
"237","Contratación","21","1"
"238","Convención","18","1"
"239","Copacabana","1","1"
"240","Coper","5","1"
"241","Cordobá","19","1"
"242","Corinto","8","1"
"243","Coromoro","21","1"
"244","Corozal","22","1"
"245","Corrales","5","1"
"246","Cota","11","1"
"247","Cotorra","10","1"
"248","Covarachía","5","1"
"249","Coveñas","22","1"
"250","Coyaima","23","1"
"251","Cravo Norte","25","1"
"252","Cuaspud (Carlosama)","17","1"
"253","Cubarral","16","1"
"254","Cubará","5","1"
"255","Cucaita","5","1"
"256","Cucunubá","11","1"
"257","Cucutilla","18","1"
"258","Cuitiva","5","1"
"259","Cumaral","16","1"
"260","Cumaribo","33","1"
"261","Cumbal","17","1"
"262","Cumbitara","17","1"
"263","Cunday","23","1"
"264","Curillo","7","1"
"265","Curití","21","1"
"266","Curumaní","9","1"
"267","Cáceres","1","1"
"268","Cáchira","18","1"
"269","Cácota","18","1"
"270","Cáqueza","11","1"
"271","Cértegui","12","1"
"272","Cómbita","5","1"
"273","Córdoba","4","1"
"274","Córdoba","17","1"
"275","Cúcuta","18","1"
"276","Dabeiba","1","1"
"277","Dagua","24","1"
"278","Dibulla","14","1"
"279","Distracción","14","1"
"280","Dolores","23","1"
"281","Don Matías","1","1"
"282","Dos Quebradas","20","1"
"283","Duitama","5","1"
"284","Durania","18","1"
"285","Ebéjico","1","1"
"286","El Bagre","1","1"
"287","El Banco","15","1"
"288","El Cairo","24","1"
"289","El Calvario","16","1"
"290","El Carmen","18","1"
"291","El Carmen","21","1"
"292","El Carmen de Atrato","12","1"
"293","El Carmen de Bolívar","4","1"
"294","El Castillo","16","1"
"295","El Cerrito","24","1"
"296","El Charco","17","1"
"297","El Cocuy","5","1"
"298","El Colegio","11","1"
"299","El Copey","9","1"
"300","El Doncello","7","1"
"301","El Dorado","16","1"
"302","El Dovio","24","1"
"303","El Espino","5","1"
"304","El Guacamayo","21","1"
"305","El Guamo","4","1"
"306","El Molino","14","1"
"307","El Paso","9","1"
"308","El Paujil","7","1"
"309","El Peñol","17","1"
"310","El Peñon","4","1"
"311","El Peñon","21","1"
"312","El Peñón","11","1"
"313","El Piñon","15","1"
"314","El Playón","21","1"
"315","El Retorno","31","1"
"316","El Retén","15","1"
"317","El Roble","22","1"
"318","El Rosal","11","1"
"319","El Rosario","17","1"
"320","El Tablón de Gómez","17","1"
"321","El Tambo","8","1"
"322","El Tambo","17","1"
"323","El Tarra","18","1"
"324","El Zulia","18","1"
"325","El Águila","24","1"
"326","Elías","13","1"
"327","Encino","21","1"
"328","Enciso","21","1"
"329","Entrerríos","1","1"
"330","Envigado","1","1"
"331","Espinal","23","1"
"332","Facatativá","11","1"
"333","Falan","23","1"
"334","Filadelfia","6","1"
"335","Filandia","19","1"
"336","Firavitoba","5","1"
"337","Flandes","23","1"
"338","Florencia","7","1"
"339","Florencia","8","1"
"340","Floresta","5","1"
"341","Florida","24","1"
"342","Floridablanca","21","1"
"343","Florián","21","1"
"344","Fonseca","14","1"
"345","Fortúl","25","1"
"346","Fosca","11","1"
"347","Francisco Pizarro","17","1"
"348","Fredonia","1","1"
"349","Fresno","23","1"
"350","Frontino","1","1"
"351","Fuente de Oro","16","1"
"352","Fundación","15","1"
"353","Funes","17","1"
"354","Funza","11","1"
"355","Fusagasugá","11","1"
"356","Fómeque","11","1"
"357","Fúquene","11","1"
"358","Gachalá","11","1"
"359","Gachancipá","11","1"
"360","Gachantivá","5","1"
"361","Gachetá","11","1"
"362","Galapa","2","1"
"363","Galeras (Nueva Granada)","22","1"
"364","Galán","21","1"
"365","Gama","11","1"
"366","Gamarra","9","1"
"367","Garagoa","5","1"
"368","Garzón","13","1"
"369","Gigante","13","1"
"370","Ginebra","24","1"
"371","Giraldo","1","1"
"372","Girardot","11","1"
"373","Girardota","1","1"
"374","Girón","21","1"
"375","Gonzalez","9","1"
"376","Gramalote","18","1"
"377","Granada","1","1"
"378","Granada","11","1"
"379","Granada","16","1"
"380","Guaca","21","1"
"381","Guacamayas","5","1"
"382","Guacarí","24","1"
"383","Guachavés","17","1"
"384","Guachené","8","1"
"385","Guachetá","11","1"
"386","Guachucal","17","1"
"387","Guadalupe","1","1"
"388","Guadalupe","13","1"
"389","Guadalupe","21","1"
"390","Guaduas","11","1"
"391","Guaitarilla","17","1"
"392","Gualmatán","17","1"
"393","Guamal","15","1"
"394","Guamal","16","1"
"395","Guamo","23","1"
"396","Guapota","21","1"
"397","Guapí","8","1"
"398","Guaranda","22","1"
"399","Guarne","1","1"
"400","Guasca","11","1"
"401","Guatapé","1","1"
"402","Guataquí","11","1"
"403","Guatavita","11","1"
"404","Guateque","5","1"
"405","Guavatá","21","1"
"406","Guayabal de Siquima","11","1"
"407","Guayabetal","11","1"
"408","Guayatá","5","1"
"409","Guepsa","21","1"
"410","Guicán","5","1"
"411","Gutiérrez","11","1"
"412","Guática","20","1"
"413","Gámbita","21","1"
"414","Gámeza","5","1"
"415","Génova","19","1"
"416","Gómez Plata","1","1"
"417","Hacarí","18","1"
"418","Hatillo de Loba","4","1"
"419","Hato","21","1"
"420","Hato Corozal","26","1"
"421","Hatonuevo","14","1"
"422","Heliconia","1","1"
"423","Herrán","18","1"
"424","Herveo","23","1"
"425","Hispania","1","1"
"426","Hobo","13","1"
"427","Honda","23","1"
"428","Ibagué","23","1"
"429","Icononzo","23","1"
"430","Iles","17","1"
"431","Imúes","17","1"
"432","Inzá","8","1"
"433","Inírida","30","1"
"434","Ipiales","17","1"
"435","Isnos","13","1"
"436","Istmina","12","1"
"437","Itagüí","1","1"
"438","Ituango","1","1"
"439","Izá","5","1"
"440","Jambaló","8","1"
"441","Jamundí","24","1"
"442","Jardín","1","1"
"443","Jenesano","5","1"
"444","Jericó","1","1"
"445","Jericó","5","1"
"446","Jerusalén","11","1"
"447","Jesús María","21","1"
"448","Jordán","21","1"
"449","Juan de Acosta","2","1"
"450","Junín","11","1"
"451","Juradó","12","1"
"452","La Apartada y La Frontera","10","1"
"453","La Argentina","13","1"
"454","La Belleza","21","1"
"455","La Calera","11","1"
"456","La Capilla","5","1"
"457","La Ceja","1","1"
"458","La Celia","20","1"
"459","La Cruz","17","1"
"460","La Cumbre","24","1"
"461","La Dorada","6","1"
"462","La Esperanza","18","1"
"463","La Estrella","1","1"
"464","La Florida","17","1"
"465","La Gloria","9","1"
"466","La Jagua de Ibirico","9","1"
"467","La Jagua del Pilar","14","1"
"468","La Llanada","17","1"
"469","La Macarena","16","1"
"470","La Merced","6","1"
"471","La Mesa","11","1"
"472","La Montañita","7","1"
"473","La Palma","11","1"
"474","La Paz","21","1"
"475","La Paz (Robles)","9","1"
"476","La Peña","11","1"
"477","La Pintada","1","1"
"478","La Plata","13","1"
"479","La Playa","18","1"
"480","La Primavera","33","1"
"481","La Salina","26","1"
"482","La Sierra","8","1"
"483","La Tebaida","19","1"
"484","La Tola","17","1"
"485","La Unión","1","1"
"486","La Unión","17","1"
"487","La Unión","22","1"
"488","La Unión","24","1"
"489","La Uvita","5","1"
"490","La Vega","8","1"
"491","La Vega","11","1"
"492","La Victoria","5","1"
"493","La Victoria","6","1"
"494","La Victoria","24","1"
"495","La Virginia","20","1"
"496","Labateca","18","1"
"497","Labranzagrande","5","1"
"498","Landázuri","21","1"
"499","Lebrija","21","1"
"500","Leiva","17","1"
"501","Lejanías","16","1"
"502","Lenguazaque","11","1"
"503","Leticia","29","1"
"504","Liborina","1","1"
"505","Linares","17","1"
"506","Lloró","12","1"
"507","Lorica","10","1"
"508","Los Córdobas","10","1"
"509","Los Palmitos","22","1"
"510","Los Patios","18","1"
"511","Los Santos","21","1"
"512","Lourdes","18","1"
"513","Luruaco","2","1"
"514","Lérida","23","1"
"515","Líbano","23","1"
"516","López (Micay)","8","1"
"517","Macanal","5","1"
"518","Macaravita","21","1"
"519","Maceo","1","1"
"520","Machetá","11","1"
"521","Madrid","11","1"
"522","Magangué","4","1"
"523","Magüi (Payán)","17","1"
"524","Mahates","4","1"
"525","Maicao","14","1"
"526","Majagual","22","1"
"527","Malambo","2","1"
"528","Mallama (Piedrancha)","17","1"
"529","Manatí","2","1"
"530","Manaure","14","1"
"531","Manaure Balcón del Cesar","9","1"
"532","Manizales","6","1"
"533","Manta","11","1"
"534","Manzanares","6","1"
"535","Maní","26","1"
"536","Mapiripan","16","1"
"537","Margarita","4","1"
"538","Marinilla","1","1"
"539","Maripí","5","1"
"540","Mariquita","23","1"
"541","Marmato","6","1"
"542","Marquetalia","6","1"
"543","Marsella","20","1"
"544","Marulanda","6","1"
"545","María la Baja","4","1"
"546","Matanza","21","1"
"547","Medellín","1","1"
"548","Medina","11","1"
"549","Medio Atrato","12","1"
"550","Medio Baudó","12","1"
"551","Medio San Juan (ANDAGOYA)","12","1"
"552","Melgar","23","1"
"553","Mercaderes","8","1"
"554","Mesetas","16","1"
"555","Milán","7","1"
"556","Miraflores","5","1"
"557","Miraflores","31","1"
"558","Miranda","8","1"
"559","Mistrató","20","1"
"560","Mitú","32","1"
"561","Mocoa","27","1"
"562","Mogotes","21","1"
"563","Molagavita","21","1"
"564","Momil","10","1"
"565","Mompós","4","1"
"566","Mongua","5","1"
"567","Monguí","5","1"
"568","Moniquirá","5","1"
"569","Montebello","1","1"
"570","Montecristo","4","1"
"571","Montelíbano","10","1"
"572","Montenegro","19","1"
"573","Monteria","10","1"
"574","Monterrey","26","1"
"575","Morales","4","1"
"576","Morales","8","1"
"577","Morelia","7","1"
"578","Morroa","22","1"
"579","Mosquera","11","1"
"580","Mosquera","17","1"
"581","Motavita","5","1"
"582","Moñitos","10","1"
"583","Murillo","23","1"
"584","Murindó","1","1"
"585","Mutatá","1","1"
"586","Mutiscua","18","1"
"587","Muzo","5","1"
"588","Málaga","21","1"
"589","Nariño","1","1"
"590","Nariño","11","1"
"591","Nariño","17","1"
"592","Natagaima","23","1"
"593","Nechí","1","1"
"594","Necoclí","1","1"
"595","Neira","6","1"
"596","Neiva","13","1"
"597","Nemocón","11","1"
"598","Nilo","11","1"
"599","Nimaima","11","1"
"600","Nobsa","5","1"
"601","Nocaima","11","1"
"602","Norcasia","6","1"
"603","Norosí","4","1"
"604","Novita","12","1"
"605","Nueva Granada","15","1"
"606","Nuevo Colón","5","1"
"607","Nunchía","26","1"
"608","Nuquí","12","1"
"609","Nátaga","13","1"
"610","Obando","24","1"
"611","Ocamonte","21","1"
"612","Ocaña","18","1"
"613","Oiba","21","1"
"614","Oicatá","5","1"
"615","Olaya","1","1"
"616","Olaya Herrera","17","1"
"617","Onzaga","21","1"
"618","Oporapa","13","1"
"619","Orito","27","1"
"620","Orocué","26","1"
"621","Ortega","23","1"
"622","Ospina","17","1"
"623","Otanche","5","1"
"624","Ovejas","22","1"
"625","Pachavita","5","1"
"626","Pacho","11","1"
"627","Padilla","8","1"
"628","Paicol","13","1"
"629","Pailitas","9","1"
"630","Paime","11","1"
"631","Paipa","5","1"
"632","Pajarito","5","1"
"633","Palermo","13","1"
"634","Palestina","6","1"
"635","Palestina","13","1"
"636","Palmar","21","1"
"637","Palmar de Varela","2","1"
"638","Palmas del Socorro","21","1"
"639","Palmira","24","1"
"640","Palmito","22","1"
"641","Palocabildo","23","1"
"642","Pamplona","18","1"
"643","Pamplonita","18","1"
"644","Pandi","11","1"
"645","Panqueba","5","1"
"646","Paratebueno","11","1"
"647","Pasca","11","1"
"648","Patía (El Bordo)","8","1"
"649","Pauna","5","1"
"650","Paya","5","1"
"651","Paz de Ariporo","26","1"
"652","Paz de Río","5","1"
"653","Pedraza","15","1"
"654","Pelaya","9","1"
"655","Pensilvania","6","1"
"656","Peque","1","1"
"657","Pereira","20","1"
"658","Pesca","5","1"
"659","Peñol","1","1"
"660","Piamonte","8","1"
"661","Pie de Cuesta","21","1"
"662","Piedras","23","1"
"663","Piendamó","8","1"
"664","Pijao","19","1"
"665","Pijiño","15","1"
"666","Pinchote","21","1"
"667","Pinillos","4","1"
"668","Piojo","2","1"
"669","Pisva","5","1"
"670","Pital","13","1"
"671","Pitalito","13","1"
"672","Pivijay","15","1"
"673","Planadas","23","1"
"674","Planeta Rica","10","1"
"675","Plato","15","1"
"676","Policarpa","17","1"
"677","Polonuevo","2","1"
"678","Ponedera","2","1"
"679","Popayán","8","1"
"680","Pore","26","1"
"681","Potosí","17","1"
"682","Pradera","24","1"
"683","Prado","23","1"
"684","Providencia","17","1"
"685","Providencia","28","1"
"686","Pueblo Bello","9","1"
"687","Pueblo Nuevo","10","1"
"688","Pueblo Rico","20","1"
"689","Pueblorrico","1","1"
"690","Puebloviejo","15","1"
"691","Puente Nacional","21","1"
"692","Puerres","17","1"
"693","Puerto Asís","27","1"
"694","Puerto Berrío","1","1"
"695","Puerto Boyacá","5","1"
"696","Puerto Caicedo","27","1"
"697","Puerto Carreño","33","1"
"698","Puerto Colombia","2","1"
"699","Puerto Concordia","16","1"
"700","Puerto Escondido","10","1"
"701","Puerto Gaitán","16","1"
"702","Puerto Guzmán","27","1"
"703","Puerto Leguízamo","27","1"
"704","Puerto Libertador","10","1"
"705","Puerto Lleras","16","1"
"706","Puerto López","16","1"
"707","Puerto Nare","1","1"
"708","Puerto Nariño","29","1"
"709","Puerto Parra","21","1"
"710","Puerto Rico","7","1"
"711","Puerto Rico","16","1"
"712","Puerto Rondón","25","1"
"713","Puerto Salgar","11","1"
"714","Puerto Santander","18","1"
"715","Puerto Tejada","8","1"
"716","Puerto Triunfo","1","1"
"717","Puerto Wilches","21","1"
"718","Pulí","11","1"
"719","Pupiales","17","1"
"720","Puracé (Coconuco)","8","1"
"721","Purificación","23","1"
"722","Purísima","10","1"
"723","Pácora","6","1"
"724","Páez","5","1"
"725","Páez (Belalcazar)","8","1"
"726","Páramo","21","1"
"727","Quebradanegra","11","1"
"728","Quetame","11","1"
"729","Quibdó","12","1"
"730","Quimbaya","19","1"
"731","Quinchía","20","1"
"732","Quipama","5","1"
"733","Quipile","11","1"
"734","Ragonvalia","18","1"
"735","Ramiriquí","5","1"
"736","Recetor","26","1"
"737","Regidor","4","1"
"738","Remedios","1","1"
"739","Remolino","15","1"
"740","Repelón","2","1"
"741","Restrepo","16","1"
"742","Restrepo","24","1"
"743","Retiro","1","1"
"744","Ricaurte","11","1"
"745","Ricaurte","17","1"
"746","Rio Negro","21","1"
"747","Rioblanco","23","1"
"748","Riofrío","24","1"
"749","Riohacha","14","1"
"750","Risaralda","6","1"
"751","Rivera","13","1"
"752","Roberto Payán (San José)","17","1"
"753","Roldanillo","24","1"
"754","Roncesvalles","23","1"
"755","Rondón","5","1"
"756","Rosas","8","1"
"757","Rovira","23","1"
"758","Ráquira","5","1"
"759","Río Iró","12","1"
"760","Río Quito","12","1"
"761","Río Sucio","6","1"
"762","Río Viejo","4","1"
"763","Río de oro","9","1"
"764","Ríonegro","1","1"
"765","Ríosucio","12","1"
"766","Sabana de Torres","21","1"
"767","Sabanagrande","2","1"
"768","Sabanalarga","1","1"
"769","Sabanalarga","2","1"
"770","Sabanalarga","26","1"
"771","Sabanas de San Angel (SAN ANGEL)","15","1"
"772","Sabaneta","1","1"
"773","Saboyá","5","1"
"774","Sahagún","10","1"
"775","Saladoblanco","13","1"
"776","Salamina","6","1"
"777","Salamina","15","1"
"778","Salazar","18","1"
"779","Saldaña","23","1"
"780","Salento","19","1"
"781","Salgar","1","1"
"782","Samacá","5","1"
"783","Samaniego","17","1"
"784","Samaná","6","1"
"785","Sampués","22","1"
"786","San Agustín","13","1"
"787","San Alberto","9","1"
"788","San Andrés","21","1"
"789","San Andrés Sotavento","10","1"
"790","San Andrés de Cuerquía","1","1"
"791","San Antero","10","1"
"792","San Antonio","23","1"
"793","San Antonio de Tequendama","11","1"
"794","San Benito","21","1"
"795","San Benito Abad","22","1"
"796","San Bernardo","11","1"
"797","San Bernardo","17","1"
"798","San Bernardo del Viento","10","1"
"799","San Calixto","18","1"
"800","San Carlos","1","1"
"801","San Carlos","10","1"
"802","San Carlos de Guaroa","16","1"
"803","San Cayetano","11","1"
"804","San Cayetano","18","1"
"805","San Cristobal","4","1"
"806","San Diego","9","1"
"807","San Eduardo","5","1"
"808","San Estanislao","4","1"
"809","San Fernando","4","1"
"810","San Francisco","1","1"
"811","San Francisco","11","1"
"812","San Francisco","27","1"
"813","San Gíl","21","1"
"814","San Jacinto","4","1"
"815","San Jacinto del Cauca","4","1"
"816","San Jerónimo","1","1"
"817","San Joaquín","21","1"
"818","San José","6","1"
"819","San José de Miranda","21","1"
"820","San José de Montaña","1","1"
"821","San José de Pare","5","1"
"822","San José de Uré","10","1"
"823","San José del Fragua","7","1"
"824","San José del Guaviare","31","1"
"825","San José del Palmar","12","1"
"826","San Juan de Arama","16","1"
"827","San Juan de Betulia","22","1"
"828","San Juan de Nepomuceno","4","1"
"829","San Juan de Pasto","17","1"
"830","San Juan de Río Seco","11","1"
"831","San Juan de Urabá","1","1"
"832","San Juan del Cesar","14","1"
"833","San Juanito","16","1"
"834","San Lorenzo","17","1"
"835","San Luis","23","1"
"836","San Luís","1","1"
"837","San Luís de Gaceno","5","1"
"838","San Luís de Palenque","26","1"
"839","San Marcos","22","1"
"840","San Martín","9","1"
"841","San Martín","16","1"
"842","San Martín de Loba","4","1"
"843","San Mateo","5","1"
"844","San Miguel","21","1"
"845","San Miguel","27","1"
"846","San Miguel de Sema","5","1"
"847","San Onofre","22","1"
"848","San Pablo","4","1"
"849","San Pablo","17","1"
"850","San Pablo de Borbur","5","1"
"851","San Pedro","1","1"
"852","San Pedro","22","1"
"853","San Pedro","24","1"
"854","San Pedro de Cartago","17","1"
"855","San Pedro de Urabá","1","1"
"856","San Pelayo","10","1"
"857","San Rafael","1","1"
"858","San Roque","1","1"
"859","San Sebastián","8","1"
"860","San Sebastián de Buenavista","15","1"
"861","San Vicente","1","1"
"862","San Vicente del Caguán","7","1"
"863","San Vicente del Chucurí","21","1"
"864","San Zenón","15","1"
"865","Sandoná","17","1"
"866","Santa Ana","15","1"
"867","Santa Bárbara","1","1"
"868","Santa Bárbara","21","1"
"869","Santa Bárbara (Iscuandé)","17","1"
"870","Santa Bárbara de Pinto","15","1"
"871","Santa Catalina","4","1"
"872","Santa Fé de Antioquia","1","1"
"873","Santa Genoveva de Docorodó","12","1"
"874","Santa Helena del Opón","21","1"
"875","Santa Isabel","23","1"
"876","Santa Lucía","2","1"
"877","Santa Marta","15","1"
"878","Santa María","5","1"
"879","Santa María","13","1"
"880","Santa Rosa","4","1"
"881","Santa Rosa","8","1"
"882","Santa Rosa de Cabal","20","1"
"883","Santa Rosa de Osos","1","1"
"884","Santa Rosa de Viterbo","5","1"
"885","Santa Rosa del Sur","4","1"
"886","Santa Rosalía","33","1"
"887","Santa Sofía","5","1"
"888","Santana","5","1"
"889","Santander de Quilichao","8","1"
"890","Santiago","18","1"
"891","Santiago","27","1"
"892","Santo Domingo","1","1"
"893","Santo Tomás","2","1"
"894","Santuario","1","1"
"895","Santuario","20","1"
"896","Sapuyes","17","1"
"897","Saravena","25","1"
"898","Sardinata","18","1"
"899","Sasaima","11","1"
"900","Sativanorte","5","1"
"901","Sativasur","5","1"
"902","Segovia","1","1"
"903","Sesquilé","11","1"
"904","Sevilla","24","1"
"905","Siachoque","5","1"
"906","Sibaté","11","1"
"907","Sibundoy","27","1"
"908","Silos","18","1"
"909","Silvania","11","1"
"910","Silvia","8","1"
"911","Simacota","21","1"
"912","Simijaca","11","1"
"913","Simití","4","1"
"914","Sincelejo","22","1"
"915","Sincé","22","1"
"916","Sipí","12","1"
"917","Sitionuevo","15","1"
"918","Soacha","11","1"
"919","Soatá","5","1"
"920","Socha","5","1"
"921","Socorro","21","1"
"922","Socotá","5","1"
"923","Sogamoso","5","1"
"924","Solano","7","1"
"925","Soledad","2","1"
"926","Solita","7","1"
"927","Somondoco","5","1"
"928","Sonsón","1","1"
"929","Sopetrán","1","1"
"930","Soplaviento","4","1"
"931","Sopó","11","1"
"932","Sora","5","1"
"933","Soracá","5","1"
"934","Sotaquirá","5","1"
"935","Sotara (Paispamba)","8","1"
"936","Sotomayor (Los Andes)","17","1"
"937","Suaita","21","1"
"938","Suan","2","1"
"939","Suaza","13","1"
"940","Subachoque","11","1"
"941","Sucre","8","1"
"942","Sucre","21","1"
"943","Sucre","22","1"
"944","Suesca","11","1"
"945","Supatá","11","1"
"946","Supía","6","1"
"947","Suratá","21","1"
"948","Susa","11","1"
"949","Susacón","5","1"
"950","Sutamarchán","5","1"
"951","Sutatausa","11","1"
"952","Sutatenza","5","1"
"953","Suárez","8","1"
"954","Suárez","23","1"
"955","Sácama","26","1"
"956","Sáchica","5","1"
"957","Tabio","11","1"
"958","Tadó","12","1"
"959","Talaigua Nuevo","4","1"
"960","Tamalameque","9","1"
"961","Tame","25","1"
"962","Taminango","17","1"
"963","Tangua","17","1"
"964","Taraira","32","1"
"965","Tarazá","1","1"
"966","Tarqui","13","1"
"967","Tarso","1","1"
"968","Tasco","5","1"
"969","Tauramena","26","1"
"970","Tausa","11","1"
